datetime,actual,predicted
2025-04-01 06:14:00,1317.4,1344.6653
2025-04-01 06:15:00,1342.0,1209.9414
2025-04-01 06:16:00,1342.0,1280.4017
2025-04-01 06:17:00,1342.0,1160.9493
2025-04-01 06:18:00,1342.0,1245.6919
2025-04-01 06:19:00,1342.0,1371.694
2025-04-01 06:20:00,1323.9,1455.8251
2025-04-01 06:21:00,1313.8,1418.905
2025-04-01 06:22:00,1313.8,1514.5282
2025-04-01 06:23:00,1313.8,1564.3177
2025-04-01 06:24:00,1451.0,1630.8546
2025-04-01 06:25:00,1417.1999999999998,1432.2941
2025-04-01 06:26:00,1417.1999999999998,1516.5096
2025-04-01 06:27:00,1417.1999999999998,1505.8983
2025-04-01 06:28:00,1357.5,1539.2789
2025-04-01 06:29:00,1357.5,1415.5618
2025-04-01 06:30:00,1397.3,1276.1674
2025-04-01 06:31:00,1397.3,1375.3464
2025-04-01 06:32:00,1415.5,1415.4741
2025-04-01 06:33:00,1415.5,1381.0585
2025-04-01 06:34:00,1288.5,1397.4688
2025-04-01 06:35:00,1296.9,1405.1515
2025-04-01 06:36:00,1296.9,1443.1274
2025-04-01 06:37:00,1288.0,1503.9774
2025-04-01 06:38:00,1288.0,1608.4695
2025-04-01 06:39:00,1349.0,1716.4872
2025-04-01 06:40:00,1297.1,1583.5333
2025-04-01 06:41:00,1361.8,1485.6869
2025-04-01 06:42:00,1361.8,1712.0135
2025-04-01 06:43:00,1361.8,1610.2267
2025-04-01 06:44:00,1285.6,1559.4191
2025-04-01 06:45:00,1291.2,1417.194
2025-04-01 06:46:00,1291.2,1474.6793
2025-04-01 06:47:00,1339.0,1478.9429
2025-04-01 06:48:00,1284.9,1644.9364
2025-04-01 06:49:00,1284.9,1559.2188
2025-04-01 06:50:00,1288.4,1453.8168
2025-04-01 06:51:00,1367.5,1421.0796
2025-04-01 06:52:00,1367.5,1458.5818
2025-04-01 06:53:00,1367.5,1409.6272
2025-04-01 06:54:00,1367.5,1365.036
2025-04-01 06:55:00,1298.7,1330.7709
2025-04-01 06:56:00,1298.7,1321.7567
2025-04-01 06:57:00,1286.0,1312.8262
2025-04-01 06:58:00,1286.0,1280.9354
2025-04-01 06:59:00,1556.0,1351.5579
2025-04-01 07:00:00,1506.2,1405.2505
2025-04-01 07:01:00,1506.2,1557.254
2025-04-01 07:02:00,1506.2,1615.7333
2025-04-01 07:03:00,1522.95,1589.5071
2025-04-01 07:04:00,1522.95,1594.1633
2025-04-01 07:05:00,1991.3666666666668,1537.0919
2025-04-01 07:06:00,1991.3666666666668,1976.235
2025-04-01 07:07:00,1991.3666666666668,2061.6816
2025-04-01 07:08:00,1991.3666666666668,2093.3933
2025-04-01 07:09:00,1991.3666666666668,2023.6215
2025-04-01 07:10:00,1567.05,1793.8584
2025-04-01 07:11:00,1567.05,1752.4187
2025-04-01 07:12:00,1633.0,1707.6239
2025-04-01 07:13:00,1633.0,1685.8457
2025-04-01 07:14:00,1633.0,1866.3597
2025-04-01 07:15:00,1597.3,1731.1112
2025-04-01 07:16:00,1597.3,1640.762
2025-04-01 07:17:00,1597.3,1639.4529
2025-04-01 07:18:00,1291.5,1550.1613
2025-04-01 07:19:00,1291.5,1500.5895
2025-04-01 07:20:00,1296.8,1555.9199
2025-04-01 07:21:00,1296.8,1475.7855
2025-04-01 07:22:00,1296.8,1506.1941
2025-04-01 07:23:00,1320.5,1570.8041
2025-04-01 07:24:00,1320.5,1580.7201
2025-04-01 07:25:00,1318.5,1504.8358
2025-04-01 07:26:00,1289.4,1427.3842
2025-04-01 07:27:00,1372.8,1567.2527
2025-04-01 07:28:00,1372.8,1596.4216
2025-04-01 07:29:00,1372.8,1537.8529
2025-04-01 07:30:00,1306.8,1353.4155
2025-04-01 07:31:00,1306.8,1561.3892
2025-04-01 07:32:00,1306.8,1596.6046
2025-04-01 07:33:00,1306.8,1533.963
2025-04-01 07:34:00,1318.75,1517.3273
2025-04-01 07:35:00,1310.3,1391.9266
2025-04-01 07:36:00,1310.3,1489.3536
2025-04-01 07:37:00,1310.3,1539.9395
2025-04-01 07:38:00,1368.0,1342.207
2025-04-01 07:39:00,729.5,1516.0614
2025-04-01 07:40:00,793.1500000000001,1232.1862
2025-04-01 07:41:00,793.1500000000001,1138.0957
2025-04-01 07:42:00,793.1500000000001,1137.5605
2025-04-01 07:43:00,793.1500000000001,1245.7592
2025-04-01 07:44:00,725.9,1086.3182
2025-04-01 07:45:00,755.2,989.9023
2025-04-01 07:46:00,755.2,983.769
2025-04-01 07:47:00,755.2,844.6816
2025-04-01 07:48:00,1387.05,920.5716
2025-04-01 07:49:00,1387.05,1255.1532
2025-04-01 07:50:00,799.4000000000001,1332.0272
2025-04-01 07:51:00,864.2,1104.5063
2025-04-01 07:52:00,864.2,1140.815
2025-04-01 07:53:00,864.2,1086.64
2025-04-01 07:54:00,864.2,977.12787
2025-04-01 07:55:00,840.3499999999999,928.4278
2025-04-01 07:56:00,840.3499999999999,992.5673
2025-04-01 07:57:00,797.0,1018.7149
2025-04-01 07:58:00,797.0,1192.6956
2025-04-01 07:59:00,797.0,1139.9861
2025-04-01 08:00:00,815.3,989.4255
2025-04-01 08:01:00,815.3,928.3758
2025-04-01 08:02:00,815.3,1004.2242
2025-04-01 08:03:00,727.2,1067.4868
2025-04-01 08:04:00,727.2,974.8239
2025-04-01 08:05:00,740.7,1004.21014
