datetime,predicted,actual,predicted_smoothed
2025-04-07 19:55:00,1455.9211,1528.45,1465.7115
2025-04-07 20:00:00,1344.9393,1508.95,1405.3254
2025-04-07 20:05:00,1245.6624,1297.25,1325.4939
2025-04-07 20:10:00,1232.6606,1296.5666666666666,1279.0773
2025-04-07 20:15:00,1239.9474,1298.0,1259.5123
2025-04-07 20:20:00,1136.8341,1288.7666666666669,1198.1732
2025-04-07 20:25:00,1222.7104,1275.0,1210.4419
2025-04-07 20:30:00,1383.221,1287.6,1296.8314
2025-04-07 20:35:00,1402.4586,1259.1,1349.645
2025-04-07 20:40:00,1297.0502,1365.15,1323.3477
2025-04-07 20:45:00,1377.8973,1345.6,1350.6226
2025-04-07 20:50:00,1283.6398,1272.7333333333331,1317.1311
2025-04-07 20:55:00,1213.5444,1257.5,1265.3378
2025-04-07 21:00:00,1440.5347,1254.7,1352.9363
2025-04-07 21:05:00,1112.8096,1287.35,1232.8729
2025-04-07 21:10:00,1293.8098,1261.1,1263.3413
2025-04-07 21:15:00,1369.848,1250.7,1316.5947
2025-04-07 21:20:00,1509.2115,1376.7,1412.9031
2025-04-07 21:25:00,1472.0897,1415.6,1442.4963
2025-04-07 21:30:00,1426.7391,1383.9,1434.6177
2025-04-07 21:35:00,1385.6935,1315.5,1410.1555
2025-04-07 21:40:00,1491.5619,1252.05,1450.8586
2025-04-07 21:45:00,1452.5736,1248.8,1451.7161
2025-04-07 21:50:00,1328.1508,1261.5,1389.9333
2025-04-07 21:55:00,1446.274,1246.7,1418.1038
2025-04-07 22:00:00,1373.239,1237.3,1404.0488
2025-04-07 22:05:00,1383.7205,1251.75,1404.0488
2025-04-07 22:10:00,1281.4763,1373.0,1379.5343
2025-04-07 22:15:00,1263.2345,1299.6,1356.2743
2025-04-07 22:20:00,1215.1635,1309.5,1328.0521
2025-04-07 22:25:00,1078.9506,663.5,1278.2318
2025-04-07 22:30:00,886.1003,659.6,1199.8055
2025-04-07 22:35:00,862.024,649.6,1132.2493
2025-04-07 22:40:00,707.5235,649.9,1047.3041
2025-04-07 22:45:00,696.7569,667.6,977.19464
2025-04-07 22:50:00,717.0159,641.55,925.1589
2025-04-07 22:55:00,799.03375,642.5999999999999,899.93384
2025-04-07 23:00:00,711.0191,722.4,862.1509
2025-04-07 23:05:00,742.48505,715.0,838.2177
2025-04-07 23:10:00,583.9516,736.9,787.3645
2025-04-07 23:15:00,666.14984,656.2,763.1216
2025-04-07 23:20:00,537.0832,658.9,717.9139
2025-04-07 23:25:00,620.3908,648.3000000000001,698.40924
2025-04-07 23:30:00,474.98874,646.1,672.6014
2025-04-07 23:35:00,748.10626,658.6,672.6014
2025-04-07 23:40:00,486.62692,647.4,672.6014
2025-04-07 23:45:00,1647.4929,726.0,699.3556
2025-04-07 23:50:00,465.5698,737.4000000000001,763.373
2025-04-07 23:55:00,443.28586,725.05,699.3556
